,pr_auc,roc_auc,recall,precision,f1,accuracy
Gradient Boosting,0.22730433935848043,0.6753626192560617,0.01091393353773731,0.587003367003367,0.02134910710426891,0.8881474217156132
Random Forest,0.21708206971284932,0.6566510298510775,0.0019642316864280996,0.38149068322981367,0.00389233099001849,0.887792338662804
MLP,0.2151347359857549,0.6662385057415917,0.01713622405344044,0.5123467204596859,0.03288819188291527,0.8879147923911571
Logistic Regression,0.21466016223413836,0.6663072942240296,0.020083584073642607,0.5042486683830766,0.03860996692999084,0.8878658597740647
